City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,Ranong,9.9658,98.6348,79.72,83,30,1.34,TH,2022-06-17 16:05:06
146,Humaita,-7.5061,-63.0208,89.04,51,8,5.03,BR,2022-06-17 16:05:06
147,Tuktoyaktuk,69.4541,-133.0374,50.32,59,77,8.1,CA,2022-06-17 16:05:07
148,Bethel,41.3712,-73.414,85.15,71,0,11.5,US,2022-06-17 16:05:07
149,Lompoc,34.6391,-120.4579,63.79,74,40,8.99,US,2022-06-17 16:03:07
150,Port Macquarie,-31.4333,152.9167,44.89,80,5,8.05,AU,2022-06-17 16:05:07
151,Busselton,-33.65,115.3333,56.55,69,96,22.17,AU,2022-06-17 16:05:08
152,Barrow,71.2906,-156.7887,42.82,75,75,4.61,US,2022-06-17 16:05:08
153,Maceio,-9.6658,-35.7353,74.64,88,100,6.91,BR,2022-06-17 16:05:08
154,Ozernovskiy,51.5,156.5167,52.32,67,100,2.75,RU,2022-06-17 16:05:09
155,Karratha,-20.7377,116.8463,76.89,71,98,7.63,AU,2022-06-17 16:05:09
156,Sao Filipe,14.8961,-24.4956,76.59,73,88,17.18,CV,2022-06-17 16:05:09
157,Lienz,46.8289,12.769,78.19,36,93,6.44,AT,2022-06-17 16:05:10
158,Dingle,10.9995,122.6711,78.64,84,13,4.63,PH,2022-06-17 16:05:10
159,Port Lincoln,-34.7333,135.8667,54.48,69,0,12.1,AU,2022-06-17 16:05:10
160,Rockingham,42.9668,-71.0995,85.37,67,69,1.99,US,2022-06-17 16:04:19
161,Bestobe,52.4994,73.0975,69.48,46,50,9.51,KZ,2022-06-17 16:05:11
162,Yumen,40.2833,97.2,76.15,28,100,6.04,CN,2022-06-17 16:05:11
163,Gwanda,-20.9333,29.0,63.12,44,0,6.8,ZW,2022-06-17 16:05:11
164,East London,-33.0153,27.9116,67.6,54,34,6.35,ZA,2022-06-17 16:05:11
165,Zyryanka,65.75,150.85,54.41,36,23,5.91,RU,2022-06-17 16:05:12
166,Awjilah,29.1081,21.2869,93.94,19,1,13.42,LY,2022-06-17 16:05:12
167,Knysna,-34.0363,23.0471,62.83,44,11,4.09,ZA,2022-06-17 16:05:12
168,Necochea,-38.5473,-58.7368,47.84,74,99,30.96,AR,2022-06-17 16:05:13
169,Pagudpud,18.5616,120.7868,80.2,78,100,3.58,PH,2022-06-17 16:05:13
170,Huarmey,-10.0681,-78.1522,66.94,68,21,8.25,PE,2022-06-17 16:05:13
171,Klaksvik,62.2266,-6.589,49.12,87,99,43.22,FO,2022-06-17 16:05:14
172,Komsomolskiy,40.4272,71.7189,83.12,21,100,9.22,UZ,2022-06-17 16:05:14
173,Rognan,67.0953,15.3878,62.76,66,36,1.48,NO,2022-06-17 16:05:14
174,Kimbe,-5.5502,150.1429,74.59,93,73,3.42,PG,2022-06-17 16:05:15
175,Constantine,36.365,6.6147,94.41,18,0,13.8,DZ,2022-06-17 16:05:15
176,Shurugwi,-19.6702,30.0059,57.58,53,0,4.9,ZW,2022-06-17 16:05:16
177,Borovskoy,53.8,64.15,66.76,66,97,0.07,KZ,2022-06-17 16:05:16
178,Yoichi,43.2039,140.7703,57.83,89,83,5.61,JP,2022-06-17 16:04:09
179,Saint-Pierre,-21.3393,55.4781,73.08,78,40,3.44,RE,2022-06-17 16:04:01
180,Murom,55.5656,42.0417,64.65,70,100,7.0,RU,2022-06-17 16:05:17
181,Lebu,-37.6167,-73.65,51.4,80,67,5.97,CL,2022-06-17 16:05:17
182,Jumla,29.2747,82.1838,60.49,90,82,2.66,NP,2022-06-17 16:03:06
183,Yen Bai,21.7,104.8667,81.3,80,100,2.46,VN,2022-06-17 16:05:17
184,Kemijarvi,66.7131,27.4306,47.8,71,100,7.72,FI,2022-06-17 16:05:18
185,Saskylakh,71.9167,114.0833,62.28,37,100,19.15,RU,2022-06-17 16:05:18
186,Clyde River,70.4692,-68.5914,33.12,81,82,20.83,CA,2022-06-17 16:05:18
187,Itapirapua,-15.8233,-50.6133,92.48,22,1,5.26,BR,2022-06-17 16:05:19
188,Atuona,-9.8,-139.0333,78.12,66,2,19.89,PF,2022-06-17 16:05:19
189,Sistranda,63.7256,8.834,66.16,81,100,10.04,NO,2022-06-17 16:05:19
190,Lalmohan,22.3384,90.7419,82.81,84,100,17.4,BD,2022-06-17 16:05:20
191,Kobayashi,31.9833,130.9833,73.78,100,100,1.81,JP,2022-06-17 16:05:20
192,Pevek,69.7008,170.3133,31.46,81,84,1.79,RU,2022-06-17 16:04:29
193,Kushiro,42.975,144.3747,57.49,94,99,2.37,JP,2022-06-17 16:04:19
194,Saint-Augustin,51.226,-58.6502,53.85,82,100,20.13,CA,2022-06-17 16:05:20
195,Machali,-34.1833,-70.6667,40.28,100,100,5.75,CL,2022-06-17 16:05:21
196,Laguna,38.421,-121.4238,63.01,57,0,13.8,US,2022-06-17 16:04:04
197,Ballangen,68.3428,16.8315,55.62,67,75,3.44,NO,2022-06-17 16:05:21
198,Qaanaaq,77.484,-69.3632,39.52,82,2,5.26,GL,2022-06-17 16:05:21
199,Kahului,20.8947,-156.47,76.84,68,40,5.75,US,2022-06-17 16:05:22
200,Saint-Joseph,-21.3667,55.6167,71.98,80,36,2.33,RE,2022-06-17 16:05:22
