City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
413,Vicksburg,US,80.28,clear sky,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
414,Birao,CF,73.49,overcast clouds,10.2849,22.7882,
415,Soyo,AO,71.13,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
416,Trapani,IT,72.28,clear sky,37.8333,12.6667,
419,Popondetta,PG,89.13,few clouds,-8.7537,148.2534,Timos Transit House
422,Yenangyaung,MM,80.58,overcast clouds,20.4667,94.8833,Hotel Country
423,Vinh,VN,83.95,overcast clouds,18.6667,105.6667,Vuong Hoan 2
424,Dingle,PH,83.77,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
426,Kutum,SD,78.03,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
427,Hamilton,US,72.37,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
428,Felipe Carrillo Puerto,MX,74.19,overcast clouds,19.5833,-88.05,Hotel La Ceiba
430,Poggibonsi,IT,71.11,clear sky,43.4724,11.1456,Hotel Villa San Lucchese
431,Hobyo,SO,77.68,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
432,Kentau,KZ,74.08,overcast clouds,43.5206,68.5094,Safary
435,Kouroussa,GN,74.5,overcast clouds,10.65,-9.8833,Hotel Tando Plus
438,Yokadouma,CM,68.79,light rain,3.5167,15.05,Hôtel De Ville De Yokadouma
439,Port Moresby,PG,84.51,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
440,Grand Gaube,MU,66.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
441,Sola,VU,79.45,clear sky,-13.8833,167.55,Leumerus Bungalows
442,Aksu,CN,69.78,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
445,Sampit,ID,79.0,scattered clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
447,Kaniama,CD,72.07,overcast clouds,-7.5667,24.1833,
449,Olinala,MX,71.58,overcast clouds,17.8333,-98.85,
450,Saint-Pierre,RE,65.91,broken clouds,-21.3393,55.4781,Alize Plage
451,Kampene,CD,67.15,overcast clouds,-3.6,26.6667,
453,Juegang,CN,84.97,broken clouds,32.3174,121.1855,Rudong Y Hotel
454,Radom,PL,67.55,clear sky,51.4025,21.1471,Hotel Iskra - Radom
455,Westport,US,67.98,clear sky,41.1415,-73.3579,The Westport Inn
457,Baoding,CN,87.66,few clouds,38.8511,115.4903,Xiu Lan Hotel
459,Ellenabad,IN,83.62,broken clouds,29.45,74.65,Lovelysweets
461,Cabedelo,BR,75.87,few clouds,-6.9811,-34.8339,Pousada Camboinha
462,Hasaki,JP,82.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
463,Goundam,ML,93.02,clear sky,16.4145,-3.6708,
464,Girona,ES,74.12,clear sky,41.9831,2.8249,Palau de Bellavista by URH
465,Yalova,TR,65.34,clear sky,40.655,29.2769,Şeref Hotel
468,Coahuayana,MX,83.34,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
470,Avera,US,79.56,clear sky,33.194,-82.5271,
471,Half Moon Bay,US,83.53,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
477,Khamgaon,IN,81.75,overcast clouds,20.6833,76.5667,Gurukrupa Inn Hotel
479,Mantua,IT,74.44,clear sky,45.1667,10.7833,Hotel la Favorita
481,Dori,BF,90.39,clear sky,14.0354,-0.0345,Hôtel Liptako
482,Ilam,NP,70.47,overcast clouds,26.9167,87.9167,चियाबारी कटेज
483,Taft,IR,76.95,scattered clouds,31.7471,54.2088,عمارت ساعتی تفت
484,Port-Gentil,GA,73.67,overcast clouds,-0.7193,8.7815,Fengshui Residence
487,Lapeer,US,72.09,overcast clouds,43.0514,-83.3188,"Holiday Inn Express Lapeer, an IHG Hotel"
489,Panguna,PG,82.38,clear sky,-6.3164,155.4848,
490,Maceio,BR,74.64,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
491,Sakakah,SA,89.46,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
492,Mirador,BR,74.03,scattered clouds,-6.3708,-44.3631,Pousada Restaurante e Pizzaria Povo
494,Puqi,CN,78.1,overcast clouds,29.7167,113.8833,Ramada Plaza Chibi
495,Tadine,NC,72.93,clear sky,-21.55,167.8833,
496,Banjar,ID,81.03,scattered clouds,-8.19,114.9675,The Hamsa Resort
497,Nhulunbuy,AU,83.01,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
498,Bantou,CN,75.47,overcast clouds,26.2151,117.4893,
499,Wuchi,CN,65.46,overcast clouds,29.3786,103.023,Guolin Inn
500,Turukhansk,RU,71.69,few clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
501,Baglung,NP,72.37,overcast clouds,28.2719,83.5898,Hotel Peace Palace
502,Kahului,US,89.62,clear sky,20.8947,-156.47,Maui Seaside Hotel
504,Camara De Lobos,PT,69.01,broken clouds,32.6333,-16.9667,Golden Residence Hotel
505,Fort Frances,CA,91.17,clear sky,48.5999,-93.4003,LA PLACE RENDEZ-VOUS
506,Haicheng,CN,79.48,clear sky,40.8516,122.7475,Haicheng Grand Hotel
507,Wuzhou,CN,81.68,heavy intensity rain,23.4833,111.3167,Wuzhou Hostel
510,Tottori,JP,79.52,overcast clouds,35.5,134.2333,Hotel Monarque Tottori
511,Cape Coast,GH,75.99,overcast clouds,5.1053,-1.2466,Samrit Hotel
512,Figeac,FR,71.1,clear sky,44.75,1.9167,Maison de vacances Chalet Le Lac Bleu 27
513,Paralimni,CY,72.48,clear sky,35.0375,33.9833,Amore Hotel Apartments
515,Eskil,TR,65.34,clear sky,38.4017,33.4131,Eskil Öğretmen Evi
516,The Valley,AI,82.09,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
517,Chalus,IR,74.86,broken clouds,36.655,51.4204,Rama Spa
520,Porbandar,IN,84.29,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
522,Nanakuli,US,84.15,clear sky,21.3906,-158.1547,Camp Pālehua
523,Gao,ML,92.57,overcast clouds,16.6362,1.637,
524,Alofi,NU,79.29,broken clouds,-19.0595,-169.9187,Taloa Heights
527,Guerrero Negro,MX,68.25,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
528,Daru,PG,78.69,overcast clouds,-9.0763,143.2092,Daru Lodge
529,Sainte-Suzanne,RE,66.47,scattered clouds,-20.9061,55.6089,Gites Ango
530,Fredericksburg,US,71.02,clear sky,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
531,Machhlishahr,IN,86.94,overcast clouds,25.6833,82.4167,Dulhan pelece
536,Liusha,CN,72.54,overcast clouds,27.2098,108.59,
537,Gouyave,GD,79.0,clear sky,12.1646,-61.7296,Rumboat Retreat
538,Lompoc,US,82.56,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
540,Nakanojo,JP,87.57,broken clouds,36.5833,138.85,金井旅館
541,Nome,US,68.16,clear sky,64.5011,-165.4064,Dredge 7 Inn
545,Norman Wells,CA,70.83,light rain,65.282,-126.8329,Heritage Hotel
546,Smithers,CA,67.89,overcast clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
547,Port Blair,IN,82.94,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
548,Manta,EC,71.24,broken clouds,-0.95,-80.7333,Balandra Hotel
549,Ilebo,CD,74.19,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
550,Sao Joao Da Barra,BR,69.73,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
551,Tanete,ID,81.16,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
552,Ryotsu,JP,72.99,few clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
553,Kings Mountain,US,72.91,overcast clouds,35.2451,-81.3412,"Holiday Inn Express & Suites Kings Mountain - Shelby Area, an IHG Hotel"
554,Ouesso,CG,70.23,overcast clouds,1.6136,16.0517,ABENIE Hotel
555,Fare,PF,79.32,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
557,Santa Luzia,BR,65.3,broken clouds,-19.7697,-43.8514,Pousada Chao Earth
559,Kalmunai,LK,79.68,overcast clouds,7.4167,81.8167,VS Villa
560,San-Pedro,CI,76.69,overcast clouds,4.7485,-6.6363,Hotel Maria
561,Kismayo,SO,77.14,light rain,-0.3582,42.5454,Agan-Hotel
562,Honiara,SB,82.81,broken clouds,-9.4333,159.95,Heritage Park Hotel
563,Jalu,LY,78.48,clear sky,29.0331,21.5482,صاحبة الفخامة
564,Zyryanka,RU,66.15,overcast clouds,65.75,150.85,
566,Manaure,CO,82.71,clear sky,11.7751,-72.4445,Hotel Palaaima
568,Madang,PG,85.26,clear sky,-5.2246,145.7966,Comfort Inn Hotel
570,Kununurra,AU,80.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
571,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
572,Pili,PH,87.64,few clouds,13.5833,123.3,Moraville Drive-In Hotel
573,Akropong,GH,68.13,scattered clouds,5.9746,-0.0854,Vip Lodge
574,Kavaratti,IN,81.97,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
575,Touros,BR,75.24,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
577,Ugoofaaru,MV,82.63,scattered clouds,5.6667,73.0,Ungoofaaru Inn
578,Sur,OM,85.39,clear sky,22.5667,59.5289,Sur Plaza Hotel
579,Porto Novo,BJ,75.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
581,Qarqin,AF,78.64,clear sky,37.4185,66.0436,
582,Praia,CV,75.74,mist,14.9215,-23.5087,LT Aparthotel
584,Yulara,AU,66.94,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
585,Gizo,SB,83.68,clear sky,-8.103,156.8419,Imagination Island
586,Portland,US,65.52,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
587,Zhumadian,CN,89.11,clear sky,32.9794,114.0294,Ouyue House Hotel
588,Gambiran,ID,78.62,broken clouds,-6.7988,111.4951,GUBUK KU
