City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
217,Ixmiquilpan,MX,20.4833,-99.2333,66.16,71,51,10.83,broken clouds
218,Araouane,ML,18.9048,-3.5265,91.62,31,12,8.12,few clouds
219,Dauphin,CA,51.1494,-100.0502,69.94,93,100,24.16,thunderstorm with rain
220,Graciano Sanchez,MX,23.9167,-99.2833,84.27,56,98,10.16,overcast clouds
221,Jiayuguan,CN,39.8167,98.3,68.0,47,100,8.05,overcast clouds
222,Klaksvik,FO,62.2266,-6.589,49.12,91,100,13.4,overcast clouds
223,Castanos,MX,26.7833,-101.4167,90.34,34,24,23.85,few clouds
224,Cabo San Lucas,MX,22.8909,-109.9124,87.62,74,20,11.5,few clouds
225,Magadan,RU,59.5667,150.8,54.54,90,100,5.73,overcast clouds
226,Najran,SA,17.4924,44.1277,78.08,42,98,7.11,overcast clouds
227,Liverpool,GB,53.4106,-2.9779,55.35,82,0,11.5,clear sky
228,Port Elizabeth,ZA,-33.918,25.5701,51.31,92,47,1.01,scattered clouds
229,Waipawa,NZ,-41.4122,175.5153,43.75,69,100,16.24,overcast clouds
230,Inirida,CO,3.8653,-67.9239,71.62,99,100,1.72,overcast clouds
231,Broken Hill,AU,-31.95,141.4333,59.63,41,79,14.5,broken clouds
232,Komsomolskiy,UZ,40.4272,71.7189,75.04,40,100,2.26,overcast clouds
233,Acari,PE,-15.4311,-74.6158,62.94,76,46,1.99,scattered clouds
234,Khorinsk,RU,52.1657,109.7726,70.12,43,0,11.81,clear sky
235,Codrington,AU,-38.2667,141.9667,54.18,68,100,23.22,light rain
236,Northam,GB,51.0333,-4.2167,57.61,82,100,10.98,overcast clouds
237,Bereda,ES,43.2686,-7.5406,54.41,100,100,2.57,overcast clouds
238,Kutno,PL,52.2306,19.3641,68.29,86,100,9.78,overcast clouds
239,Ornskoldsvik,SE,63.2909,18.7153,46.89,95,10,6.02,clear sky
240,Gamba,GA,-2.65,10.0,70.75,89,75,7.92,broken clouds
241,Sungaipenuh,ID,-2.0833,101.3833,64.38,99,100,0.94,overcast clouds
242,Belle Fourche,US,44.6714,-103.8522,91.33,22,32,11.99,scattered clouds
243,Yerbogachen,RU,61.2767,108.0108,52.57,69,100,12.5,overcast clouds
244,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.7,67,51,1.88,broken clouds
245,Cobh,IE,51.8572,-8.2992,52.84,87,20,16.11,few clouds
246,Port Lincoln,AU,-34.7333,135.8667,59.43,62,100,18.92,overcast clouds
247,Rolla,US,37.9514,-91.7713,82.54,53,0,5.75,clear sky
248,Tshikapa,CD,-6.4167,20.8,75.22,43,100,0.83,overcast clouds
249,Rudnichnyy,RU,59.617,52.4703,50.72,97,100,3.47,overcast clouds
250,Akonolinga,CM,3.7667,12.25,65.71,100,75,2.64,light rain
251,Bure,ET,10.7,37.0667,55.94,94,100,0.69,light rain
252,Broome,US,42.2506,-75.833,58.01,65,0,6.91,clear sky
253,Matiari,PK,25.5961,68.4467,84.27,69,0,23.33,clear sky
254,Aksarka,RU,66.5606,67.7975,63.05,77,7,4.43,clear sky
255,Zheleznodorozhnyy,RU,55.7503,38.0042,58.55,92,100,5.82,light rain
256,Anadyr,RU,64.75,177.4833,52.3,71,75,20.13,broken clouds
257,Kysyl-Syr,RU,63.8986,122.7617,52.65,52,100,13.02,overcast clouds
258,Las Vegas,US,36.175,-115.1372,89.04,8,0,14.97,clear sky
259,Caravelas,BR,-17.7125,-39.2481,70.95,82,0,5.41,clear sky
260,Nantucket,US,41.2835,-70.0995,55.99,81,100,4.61,overcast clouds
261,Odessa,UA,46.4775,30.7326,66.76,62,0,4.9,clear sky
262,Dunda,TZ,-8.1167,34.25,53.44,85,68,1.99,broken clouds
263,Mushie,CD,-3.0167,16.9,75.38,62,100,2.95,overcast clouds
264,Mount Gambier,AU,-37.8333,140.7667,49.91,100,100,17.27,light rain
265,Geelong,AU,-38.1471,144.3607,55.47,75,100,12.66,overcast clouds
266,Lodwar,KE,3.1191,35.5973,77.83,60,93,6.26,overcast clouds
267,Zhangjiakou,CN,40.81,114.8794,79.18,55,96,3.11,overcast clouds
268,Namatanai,PG,-3.6667,152.4333,84.69,65,9,3.58,clear sky
